site,elevation_m,rho_r,f,k,ci_profile,makespan_h,IT_energy_kWh,facility_energy_kWh,run_PUE,carbon_kg,carbon_t
Shanghai,3.0,0.9997120231217516,0.9,4,qinghai,3.7431,1254.4,1420.58,1.13248,174.8,0.1748
Shanghai,3.0,0.9997120231217516,0.9,4,coal,3.7431,1254.4,1420.58,1.13248,1032.6,1.0326
Shanghai,3.0,0.9997120231217516,0.9,8,qinghai,3.6823,1274.84,1443.74,1.13248,177.6,0.1776
Shanghai,3.0,0.9997120231217516,0.9,8,coal,3.6823,1274.84,1443.74,1.13248,1049.2,1.0492
Shanghai,3.0,0.9997120231217516,0.9,16,qinghai,3.648,1284.67,1454.86,1.13248,179.0,0.179
Shanghai,3.0,0.9997120231217516,0.9,16,coal,3.648,1284.67,1454.86,1.13248,1057.2,1.0572
Shanghai,3.0,0.9997120231217516,0.9,32,qinghai,3.6299,1289.48,1460.31,1.13248,179.6,0.1796
Shanghai,3.0,0.9997120231217516,0.9,32,coal,3.6299,1289.48,1460.31,1.13248,1061.1,1.0611
Shanghai,3.0,0.9997120231217516,0.9,64,qinghai,3.6206,1291.86,1463.01,1.13248,179.9,0.1799
Shanghai,3.0,0.9997120231217516,0.9,64,coal,3.6206,1291.86,1463.01,1.13248,1063.0,1.063
Shanghai,3.0,0.9997120231217516,0.96,1,qinghai,3.8889,1109.33,1251.32,1.12799,154.0,0.154
Shanghai,3.0,0.9997120231217516,0.96,1,coal,3.8889,1109.33,1251.32,1.12799,909.9,0.9099
Shanghai,3.0,0.9997120231217516,0.96,2,qinghai,3.8333,1210.31,1365.22,1.12799,168.0,0.168
Shanghai,3.0,0.9997120231217516,0.96,2,coal,3.8333,1210.31,1365.22,1.12799,992.6,0.9926
Shanghai,3.0,0.9997120231217516,0.96,4,qinghai,3.7431,1254.4,1414.96,1.12799,174.1,0.1741
Shanghai,3.0,0.9997120231217516,0.96,4,coal,3.7431,1254.4,1414.96,1.12799,1028.5,1.0285
Shanghai,3.0,0.9997120231217516,0.96,8,qinghai,3.6823,1274.84,1438.02,1.128,176.9,0.1769
Shanghai,3.0,0.9997120231217516,0.96,8,coal,3.6823,1274.84,1438.02,1.128,1045.1,1.0451
Shanghai,3.0,0.9997120231217516,0.96,16,qinghai,3.648,1284.67,1449.1,1.128,178.2,0.1782
Shanghai,3.0,0.9997120231217516,0.96,16,coal,3.648,1284.67,1449.1,1.128,1053.0,1.053
Shanghai,3.0,0.9997120231217516,0.96,32,qinghai,3.6299,1289.48,1454.53,1.128,178.9,0.1789
Shanghai,3.0,0.9997120231217516,0.96,32,coal,3.6299,1289.48,1454.53,1.128,1056.9,1.0569
Shanghai,3.0,0.9997120231217516,0.96,64,qinghai,3.6206,1291.86,1457.21,1.128,179.2,0.1792
Shanghai,3.0,0.9997120231217516,0.96,64,coal,3.6206,1291.86,1457.21,1.128,1058.8,1.0588
Shanghai,3.0,0.9997120231217516,1.0,1,qinghai,3.8889,1109.33,1248.0,1.125,153.6,0.1536
Shanghai,3.0,0.9997120231217516,1.0,1,coal,3.8889,1109.33,1248.0,1.125,907.5,0.9075
Shanghai,3.0,0.9997120231217516,1.0,2,qinghai,3.8333,1210.31,1361.61,1.125,167.5,0.1675
Shanghai,3.0,0.9997120231217516,1.0,2,coal,3.8333,1210.31,1361.61,1.125,989.9,0.9899
Shanghai,3.0,0.9997120231217516,1.0,4,qinghai,3.7431,1254.4,1411.21,1.125,173.6,0.1736
Shanghai,3.0,0.9997120231217516,1.0,4,coal,3.7431,1254.4,1411.21,1.125,1025.8,1.0258
Shanghai,3.0,0.9997120231217516,1.0,8,qinghai,3.6823,1274.84,1434.21,1.125,176.4,0.1764
Shanghai,3.0,0.9997120231217516,1.0,8,coal,3.6823,1274.84,1434.21,1.125,1042.3,1.0423
Shanghai,3.0,0.9997120231217516,1.0,16,qinghai,3.648,1284.67,1445.26,1.125,177.8,0.1778
Shanghai,3.0,0.9997120231217516,1.0,16,coal,3.648,1284.67,1445.26,1.125,1050.2,1.0502
Shanghai,3.0,0.9997120231217516,1.0,32,qinghai,3.6299,1289.48,1450.67,1.125,178.4,0.1784
Shanghai,3.0,0.9997120231217516,1.0,32,coal,3.6299,1289.48,1450.67,1.125,1054.1,1.0541
Shanghai,3.0,0.9997120231217516,1.0,64,qinghai,3.6206,1291.86,1453.35,1.125,178.8,0.1788
Shanghai,3.0,0.9997120231217516,1.0,64,coal,3.6206,1291.86,1453.35,1.125,1056.0,1.056
